x,y
10.3,63.4
10.2,63.3
10.0,61.5
10.0,67.0
10.0,60.0
10.7,59.3
10.9,58.4
10.8,57.5
10.6,56.3
10.3,55.5
10.6,54.9
10.9,53.2
11.6,51.3
11.5,51.0
11.0,48.8
15.2,78.0
15.2,71.0
15.1,77.0
14.9,75.0
14.9,69.8
14.9,69.2
14.9,67.7
14.8,67.5
14.7,67.7
14.5,67.0
14.6,67.4
14.3,67.6
13.9,67.6
13.2,67.7
13.3,67.5
15.5,76.8
15.5,76.8
15.5,76.5
15.5,77.0
15.6,76.3
15.5,76.6
15.7,76.4
15.3,75.4
15.2,76.2
15.5,75.7
15.5,75.4
15.0,75.4
14.7,75.4
14.2,75.2
14.0,75.1
12.1,69.2
12.0,69.1
12.0,68.8
12.0,68.5
11.9,68.3
11.8,68.0
11.9,67.9
11.8,67.8
11.8,67.6
11.7,67.3
11.6,67.8
11.3,67.2
11.0,67.1
10.8,71.7
10.8,71.6
10.8,71.4
10.8,71.2
10.8,71.0
10.7,78.0
10.7,75.0
10.7,73.0
10.6,71.0
10.6,69.9
10.7,69.6
10.4,69.4
10.2,69.3
10.1,69.1
9.6,69.0
12.5,61.1
12.5,63.0
12.3,59.2
12.0,58.2
11.8,58.0
11.6,57.4
11.4,55.7
11.1,52.6
10.9,58.0
10.7,49.3
10.3,59.2
10.4,58.0
9.8,56.6
10.1,54.9
10.0,52.4
9.9,50.0
9.7,48.2
9.6,46.6
9.5,45.4
9.3,44.6
9.2,44.3
9.5,44.5
10.0,44.8
9.8,45.3
9.8,46.0
